"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","","0","Авторизация пользователя","1","0","Успешная авторизация пользователя","0"
"3","","0","Создание пользователя","9","0","Ошибка при создании учетной записи без обязательных полей","0"
"0","","0","Изменения данных пользователя","2","0","Успешное изменение данных пользователя","0"
"0","","0","Создание пользователя","1","0","Успешное создание уникального пользователя","0"
"0","","0","Изменения данных пользователя","2","0","Ошибка при изменении данных пользователя","0"
"0","","0","Создание заказа","1","0","Успешное создание заказа без авторизации","0"
"0","","0","Авторизация пользователя","2","0","Ошибка при неправильном указании логина или пароля","0"
"0","","0","Создание заказа","1","0","Успешное создание заказа с авторизацией и с ингредиентами","0"
"0","","0","Создание заказа","1","0","Ошибка при создании заказа с авторизацией без ингредиентов","0"
"0","","0","Получение заказов конкретного пользователя","1","0","Ошибка при попытке получения заказов без авторизации","0"
"0","","0","Создание пользователя","1","0","Ошибка при повторном создании пользователя","0"
"0","","0","Создание заказа","1","0","Ошибка при создании заказа с авторизацией с неверным хешем ингредиентов","0"
"0","","0","Получение заказов конкретного пользователя","1","0","Успешное получение заказов конкретного пользователя с авторизацией","0"
