"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"
Тест проверяет успешную авторизацию пользователя с корректными
учетными данными.
","598","Тест на авторизацию пользователя при передаче всех обязательных полей","tests","2026-01-19","passed","2026-01-19","TestLoginUser","test_user","",""
"
Тест проверяет обработку ошибок при отсутствии обязательных полей
при создании учетной записи.
","501","Тест на создание учетной записи без обязательного поля","tests","2026-01-19","passed","2026-01-19","TestCreateCourier","test_user","",""
"
Тест проверяет обработку ошибок при отсутствии обязательных полей
при создании учетной записи.
","615","Тест на создание учетной записи без обязательного поля","tests","2026-01-19","broken","2026-01-19","TestCreateCourier","test_user","",""
"
Тест проверяет успешное изменение данных пользователя (email или имени)
при наличии корректной авторизации.
","1029","Тест на изменение данных пользователя с авторизацией","tests","2026-01-19","passed","2026-01-19","TestChangeUserData","test_user","",""
"
Тест проверяет обработку ошибок при отсутствии обязательных полей
при создании учетной записи.
","461","Тест на создание учетной записи без обязательного поля","tests","2026-01-19","passed","2026-01-19","TestCreateCourier","test_user","",""
"
Тест проверяет обработку ошибок при отсутствии обязательных полей
при создании учетной записи.
","494","Тест на создание учетной записи без обязательного поля","tests","2026-01-19","passed","2026-01-19","TestCreateCourier","test_user","",""
"
Тест проверяет успешное создание нового уникального пользователя
с заполнением всех обязательных полей.
","1619","Тест на успешное создание пользователя со всеми полями","tests","2026-01-19","passed","2026-01-19","TestCreateCourier","test_user","",""
"
Тест проверяет обработку ошибки при попытке изменения данных
без предоставления токена авторизации.
","1029","Тест на изменение данных пользователя без авторизации","tests","2026-01-19","passed","2026-01-19","TestChangeUserData","test_user","",""
"
Тест проверяет обработку ошибок при отсутствии обязательных полей
при создании учетной записи.
","436","Тест на создание учетной записи без обязательного поля","tests","2026-01-19","passed","2026-01-19","TestCreateCourier","test_user","",""
"
Тест проверяет возможность создания заказа без авторизации.
Ожидаемый результат: заказ должен создаваться без токена авторизации.
","1202","Тест на создание заказа без авторизации","tests","2026-01-19","passed","2026-01-19","TestCreateOrder","test_orders","",""
"
Тест проверяет обработку ошибок при неверном вводе email или пароля.
","519","Тест на авторизацию с некорректными данными","tests","2026-01-19","passed","2026-01-19","TestLoginUser","test_user","",""
"
Тест проверяет обработку ошибок при отсутствии обязательных полей
при создании учетной записи.
","462","Тест на создание учетной записи без обязательного поля","tests","2026-01-19","passed","2026-01-19","TestCreateCourier","test_user","",""
"
Тест проверяет успешное создание заказа с авторизованным пользователем
","3694","Тест на создание заказа с авторизацией и с ингредиентами","tests","2026-01-19","passed","2026-01-19","TestCreateOrder","test_orders","",""
"
Тест проверяет обработку ошибок при отсутствии обязательных полей
при создании учетной записи.
","434","Тест на создание учетной записи без обязательного поля","tests","2026-01-19","passed","2026-01-19","TestCreateCourier","test_user","",""
"
Тест проверяет обработку ошибки при попытке создания заказа
без ингредиентов с авторизацией.
","449","Тест на создание заказа с авторизацией без ингредиентов","tests","2026-01-19","passed","2026-01-19","TestCreateOrder","test_orders","",""
"
Тест проверяет обработку ошибок при неверном вводе email или пароля.
","553","Тест на авторизацию с некорректными данными","tests","2026-01-19","passed","2026-01-19","TestLoginUser","test_user","",""
"
Тест проверяет обработку ошибок при отсутствии обязательных полей
при создании учетной записи.
","497","Тест на создание учетной записи без обязательного поля","tests","2026-01-19","passed","2026-01-19","TestCreateCourier","test_user","",""
"
Тест проверяет обработку попытки получения заказов без авторизации.
","4101","Тест на получение заказов без авторизации","tests","2026-01-19","passed","2026-01-19","TestGetOrder","test_orders","",""
"
Тест проверяет обработку ошибки при попытке создания пользователя
с уже существующим логином.
","445","Тест на создание пользователя с уже существующим логином","tests","2026-01-19","passed","2026-01-19","TestCreateCourier","test_user","",""
"
Тест проверяет обработку ошибок при отсутствии обязательных полей
при создании учетной записи.
","617","Тест на создание учетной записи без обязательного поля","tests","2026-01-19","broken","2026-01-19","TestCreateCourier","test_user","",""
"
Тест проверяет успешное изменение данных пользователя (email или имени)
при наличии корректной авторизации.
","1136","Тест на изменение данных пользователя с авторизацией","tests","2026-01-19","passed","2026-01-19","TestChangeUserData","test_user","",""
"
Тест проверяет обработку ошибок при отсутствии обязательных полей
при создании учетной записи.
","435","Тест на создание учетной записи без обязательного поля","tests","2026-01-19","passed","2026-01-19","TestCreateCourier","test_user","",""
"
Тест проверяет обработку ошибок при отсутствии обязательных полей
при создании учетной записи.
","635","Тест на создание учетной записи без обязательного поля","tests","2026-01-19","broken","2026-01-19","TestCreateCourier","test_user","",""
"
Тест проверяет обработку ошибок при отсутствии обязательных полей
при создании учетной записи.
","477","Тест на создание учетной записи без обязательного поля","tests","2026-01-19","passed","2026-01-19","TestCreateCourier","test_user","",""
"
Тест проверяет обработку ошибки при попытке изменения данных
без предоставления токена авторизации.
","1212","Тест на изменение данных пользователя без авторизации","tests","2026-01-19","passed","2026-01-19","TestChangeUserData","test_user","",""
"
Тест проверяет обработку ошибки при попытке создания заказа
с некорректными ID ингредиентов. Ожидается, что сервер вернет
ошибку 500 при передаче невалидных идентификаторов ингредиентов.
","574","Тест на создание заказа с авторизацией с неверным хешем ингредиентов","tests","2026-01-19","passed","2026-01-19","TestCreateOrder","test_orders","",""
"
Тест проверяет возможность получения списка заказов
авторизованным пользователем.
","4666","Тест на получение заказов конкретного пользователя с авторизацией","tests","2026-01-19","passed","2026-01-19","TestGetOrder","test_orders","",""
